ROI_name,t-statistic
L_bankssts,0.52494
L_caudalanteriorcingulate,0.30723
L_caudalmiddlefrontal,1.2306
L_cuneus,-0.5772
L_entorhinal,-0.77309
L_fusiform,0.93869
L_inferiorparietal,2.3519
L_inferiortemporal,1.3484
L_isthmuscingulate,-0.81207
L_lateraloccipital,1.3888
L_lateralorbitofrontal,-0.19309
L_lingual,-0.40523
L_medialorbitofrontal,-0.81167
L_middletemporal,1.1143
L_parahippocampal,0.22209
L_paracentral,-0.021796
L_parsopercularis,0.36881
L_parsorbitalis,-1.9511
L_parstriangularis,-0.47576
L_pericalcarine,-0.77558
L_postcentral,2.4427
L_posteriorcingulate,-1.8275
L_precentral,1.9639
L_precuneus,-0.19827
L_rostralanteriorcingulate,-1.3674
L_rostralmiddlefrontal,2.6815
L_superiorfrontal,2.3053
L_superiorparietal,2.4468
L_superiortemporal,1.8592
L_supramarginal,1.2502
L_frontalpole,-2.7844
L_temporalpole,-1.332
L_transversetemporal,-2.2348
L_insula,-0.72787
